svs_filename,slide_path,recognized_text
291288_.svs,Breast_cancer_N=137/291288_.svs,
291290_.svs,Breast_cancer_N=137/291290_.svs,
291292_.svs,Breast_cancer_N=137/291292_.svs,
291293_.svs,Breast_cancer_N=137/291293_.svs,
291295_.svs,Breast_cancer_N=137/291295_.svs,
291296_.svs,Breast_cancer_N=137/291296_.svs,
291297.svs,Breast_cancer_N=137/291297.svs,iL
291298_.svs,Breast_cancer_N=137/291298_.svs,
291299_.svs,Breast_cancer_N=137/291299_.svs,
291300.svs,Breast_cancer_N=137/291300.svs,
291301_.svs,Breast_cancer_N=137/291301_.svs,4 |
291302.svs,Breast_cancer_N=137/291302.svs,
291303_.svs,Breast_cancer_N=137/291303_.svs,
291304.svs,Breast_cancer_N=137/291304.svs,| | . : )
291305_.svs,Breast_cancer_N=137/291305_.svs,
291306.svs,Breast_cancer_N=137/291306.svs,
291307_.svs,Breast_cancer_N=137/291307_.svs,
291308_.svs,Breast_cancer_N=137/291308_.svs,.
291309.svs,Breast_cancer_N=137/291309.svs,7 | i.
291310_.svs,Breast_cancer_N=137/291310_.svs,
291311.svs,Breast_cancer_N=137/291311.svs,
291312_.svs,Breast_cancer_N=137/291312_.svs,
291313.svs,Breast_cancer_N=137/291313.svs,
291314_.svs,Breast_cancer_N=137/291314_.svs,
291315_.svs,Breast_cancer_N=137/291315_.svs,
291316.svs,Breast_cancer_N=137/291316.svs,
291317_.svs,Breast_cancer_N=137/291317_.svs,
291318.svs,Breast_cancer_N=137/291318.svs,_ '
291319_.svs,Breast_cancer_N=137/291319_.svs,
291320_.svs,Breast_cancer_N=137/291320_.svs,
291321.svs,Breast_cancer_N=137/291321.svs,
291322_.svs,Breast_cancer_N=137/291322_.svs,
291323.svs,Breast_cancer_N=137/291323.svs,
291324_.svs,Breast_cancer_N=137/291324_.svs,": | | ,"
291325.svs,Breast_cancer_N=137/291325.svs,4q | .
291326_.svs,Breast_cancer_N=137/291326_.svs,
291327.svs,Breast_cancer_N=137/291327.svs,
291328_.svs,Breast_cancer_N=137/291328_.svs,
291329_.svs,Breast_cancer_N=137/291329_.svs,
291330.svs,Breast_cancer_N=137/291330.svs,
291331_.svs,Breast_cancer_N=137/291331_.svs,
291332.svs,Breast_cancer_N=137/291332.svs,a .
291333_.svs,Breast_cancer_N=137/291333_.svs,
291334.svs,Breast_cancer_N=137/291334.svs,
291335_.svs,Breast_cancer_N=137/291335_.svs,
291336.svs,Breast_cancer_N=137/291336.svs,
291337_.svs,Breast_cancer_N=137/291337_.svs,
291338_.svs,Breast_cancer_N=137/291338_.svs,
291339.svs,Breast_cancer_N=137/291339.svs,
291340_.svs,Breast_cancer_N=137/291340_.svs,
291341.svs,Breast_cancer_N=137/291341.svs,
291342_.svs,Breast_cancer_N=137/291342_.svs,
291343_.svs,Breast_cancer_N=137/291343_.svs,
291344.svs,Breast_cancer_N=137/291344.svs,
291345_.svs,Breast_cancer_N=137/291345_.svs,
291346.svs,Breast_cancer_N=137/291346.svs,"{ . , 7 ;"
291347_.svs,Breast_cancer_N=137/291347_.svs,
291348_.svs,Breast_cancer_N=137/291348_.svs,
291349.svs,Breast_cancer_N=137/291349.svs,
291350_.svs,Breast_cancer_N=137/291350_.svs,
291351_.svs,Breast_cancer_N=137/291351_.svs,
291352.svs,Breast_cancer_N=137/291352.svs,: i‘
291353_.svs,Breast_cancer_N=137/291353_.svs,4
291354_.svs,Breast_cancer_N=137/291354_.svs,
291355.svs,Breast_cancer_N=137/291355.svs,
291356_.svs,Breast_cancer_N=137/291356_.svs,| 4 C | | 6
291357.svs,Breast_cancer_N=137/291357.svs,
291358_.svs,Breast_cancer_N=137/291358_.svs,
291359_.svs,Breast_cancer_N=137/291359_.svs,
291360.svs,Breast_cancer_N=137/291360.svs,
291361_.svs,Breast_cancer_N=137/291361_.svs,
291362_.svs,Breast_cancer_N=137/291362_.svs,+ |
291363.svs,Breast_cancer_N=137/291363.svs,
291364_.svs,Breast_cancer_N=137/291364_.svs,
291365.svs,Breast_cancer_N=137/291365.svs,
291366_.svs,Breast_cancer_N=137/291366_.svs,.
291367_.svs,Breast_cancer_N=137/291367_.svs,
291368.svs,Breast_cancer_N=137/291368.svs,
291369_.svs,Breast_cancer_N=137/291369_.svs,
291371.svs,Breast_cancer_N=137/291371.svs,a
291372_.svs,Breast_cancer_N=137/291372_.svs,
291373_.svs,Breast_cancer_N=137/291373_.svs,
291374.svs,Breast_cancer_N=137/291374.svs,es \
291375_.svs,Breast_cancer_N=137/291375_.svs,
291376_.svs,Breast_cancer_N=137/291376_.svs,: b |
291377.svs,Breast_cancer_N=137/291377.svs,
291378_.svs,Breast_cancer_N=137/291378_.svs,' : |
291379.svs,Breast_cancer_N=137/291379.svs,
291380_.svs,Breast_cancer_N=137/291380_.svs,
291381_.svs,Breast_cancer_N=137/291381_.svs,. ‘
291382.svs,Breast_cancer_N=137/291382.svs,| { : j
291383.svs,Breast_cancer_N=137/291383.svs,
291384.svs,Breast_cancer_N=137/291384.svs,
291385.svs,Breast_cancer_N=137/291385.svs,| | | :
